곡명,장르
That That (prod. & feat. SUGA of BTS),댄스
LOVE DIVE,댄스
TOMBOY,록/메탈
봄여름가을겨울 (Still Life),록/메탈
사랑인가 봐,"발라드, 국내드라마"
사랑은 늘 도망가,"발라드, 국내드라마"
정이라고 하자 (Feat. 10CM),R&B/Soul
우리들의 블루스,발라드
나의 X에게,발라드
다시 만날 수 있을까,발라드
LOVE me,랩/힙합
Feel My Rhythm,댄스
FEARLESS,댄스
이제 나만 믿어요,성인가요/트로트
취중고백,발라드
무지개,록/메탈
아버지,발라드
GANADARA (Feat. 아이유),R&B/Soul
손이 참 곱던 그대,재즈
A bientot,랩/힙합
사랑해 진짜,포크/블루스
ZOOM,랩/힙합
연애편지,포크/블루스
인생찬가,발라드
사랑역,성인가요/트로트
보금자리,성인가요/트로트
사랑해요 그대를,성인가요/트로트
INVU,댄스
듣고 싶을까,발라드
ELEVEN,댄스
MY BAG,랩/힙합
신호등,록/메탈
다정히 내 이름을 부르면,발라드
That's Hilarious,POP
STAY,POP
SMILEY (Feat. BIBI),댄스
너를 생각해,"R&B/Soul, 인디음악"
언제나 사랑해,발라드
Next Level,댄스
내가 아니라도,발라드
"회전목마 (Feat. Zion.T, 원슈타인) (Prod. Slom)",랩/힙합
아무래도 난,"R&B/Soul, 인디음악"
RUN2U,댄스
Seoul,"인디음악, 포크/블루스"
Dynamite,댄스
Weekend,댄스
늦은 밤 헤어지긴 너무 아쉬워,발라드
드라마,발라드
너의 모든 순간,"발라드, 국내드라마"
리무진 (Feat. MINO) (Prod. GRAY),랩/힙합
Butter,댄스
With you,"발라드, 국내드라마"
Celeb,댄스
strawberry moon,록/메탈
"스물다섯, 스물하나",록/메탈
Permission to Dance,댄스
호랑수월가,발라드
미친 것처럼,발라드
OHAYO MY NIGHT,랩/힙합
팡파레,발라드
내 손을 잡아,"발라드, 국내드라마"
Step Back,댄스
Counting Stars (Feat. Beenzino),랩/힙합
눈이 오잖아(Feat.헤이즈),발라드
라일락,댄스
문득,랩/힙합
존재만으로,"랩/힙합, 국내드라마"
"사이렌 Remix (Feat. UNEDUCATED KID, Paul Blanco)",랩/힙합
Savage,댄스
바라만 본다,발라드
고백,"발라드, 인디음악"
밤하늘의 별을(2020),발라드
Celebrity,댄스
찰나가 영원이 될 때 (The Eternal Moment),"R&B/Soul, 인디음악"
Off My Face,POP
봄날,랩/힙합
Bad Habits,POP
사랑인걸,발라드
Blueming,록/메탈
My Universe,POP
"모든 날, 모든 순간 (Every day, Every Moment)","발라드, 국내드라마"
롤린 (Rollin'),댄스
만남은 쉽고 이별은 어려워 (Feat. Leellamarz) (Prod. TOIL),랩/힙합
Good Boy Gone Bad,랩/힙합
초대,"발라드, 인디음악"
헤픈 우연,R&B/Soul
Dreams Come True,댄스
"너, 너 (N번째 연애 X 휘인 (Whee In))",발라드
Dun Dun Dance,댄스
abcdefu,POP
"어떻게 이별까지 사랑하겠어, 널 사랑하는 거지",발라드
하지마,랩/힙합
감동이야 (feat. 성시경),랩/힙합
Real Love,댄스
어제처럼,발라드
서랍,"발라드, 국내드라마"
나는 트로트가 싫어요,댄스
낙하 (with 아이유),록/메탈
Christmas Tree,"발라드, 국내드라마"
Starlight,"록/메탈, 국내드라마"
